Raumnr.Neubau;Tisch 1 Altbau;Tisch 2 Altbau;Tisch 3 Altbau;Tisch 4 Altbau;Tisch 5 Altbau;Tisch 6 Altbau;Tisch Beschreibung;Tisch 1 Maße;Tisch 2 Maße;Drehstuhl 1 Altbau;Drehstuhl 2 Altbau;Drehstuhl 3 Altbau;Drehstuhl 4 Altbau;Drehstuhl 5 Altbau;Drehstuhl 6 Altbau;Drehstuhl Beschreibung;Rollcontainer 1 Altbau;Rollcontainer 2 Altbau;Rollcontainer 3 Altbau;Rollcontainer 4 Altbau;Rollcontainer 5 Altbau;Rollcontainer 6 Altbau;Rollcontainer Beschreibung;Rollcontainer 1 Maße;Rollcontainer 2 Maße;Rollcontainer 3 Maße;Schrank 1 Altbau;Schrank 2 Altbau;Schrank 3 Altbau;Schrank 4 Altbau;Schrank 5 Altbau;Schrank 6 Altbau;Schrank 7 Altbau;Schrank Beschreibung;Schrank 1 Maße;Schrank 2 Maße;Schrank 3 Maße;Schrank 4 Maße;Schrank 5 Maße;Schrank 6 Maße;Schrank 7 Maße;Beistelltisch Anzahl;Besucherstuhl 1 Altbau;Besucherstuhl 2 Altbau;Besucherstuhl Beschreibung;Besucherstuhl Anzahl ;Wartemöbel 1 Altbau;Wartemöbel 2 Altbau;Wartemöbel 3 Altbau;Wartemöbel 4 Altbau;Wartemöbel 5 Altbau;Wartemöbel 1 Beschreibung;Wartemöbel 2 Beschreibung;Wartemöbel 3 Beschreibung;Wartemöbel 4 Beschreibung;Wartemöbel 5 Beschreibung;Wartemöbel 1 Anzahl;Wartemöbel 2 Anzahl;Wartemöbel 3 Anzahl;Wartemöbel 4 Anzahl;Wartemöbel 5 Anzahl
6420.00.001;6112/0.839;;;;;;OKA weiß;1.60 x 0.75 x 0.80;;6114/1.202;;;;;;Polster schwarz;6111/3.634;;;;;;OKA weiß;0.43 x 0.57 x 0.80;;;1.118;1.118;;;;;;OKA weiß FTS;0.80 x 2.10 x 0.42;0.80 x 2.10 x 0.42;;;;;;1;1.415;1.415;grau;2;;;;;;;;;;;;;;;
6420.00.002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.006a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.010;6111/1.326;6112/0.839;;;;;OKA weiß;1.60 x 0.75 x 0.80;;6111/1.326;6111/1.326;;;;;Polster Schwarz;6111/1.326;6112/0.826;;;;;OKA weiß;0.43 x 0.57 x 0.60;;;x;x;;;;;;;;;;;;;;2;6105/1.07;6105/1.07;Polster grau/rot;2;;;;;;;;;;;;;;;
6420.00.012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.019A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6420.00.020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
