Technische Raunmummer unten auf dem Glas;Bauteil Leitsystem auf dem Glas;Text erste Zeile (fett) -> MetaBoldRoman 36 fett;Text zweite Zeile  -> MetaNormalRoman 32Ausnahme: Dienstzimmer: MetaBoldRoman 32 fett ;Text dritte Zeile (leicht) -> MetaNormalRoman 32 nicht fett;Ebene auf dem Glas;Style ;leitende Raumnummerklein oben rechts;leitende Raumnummergroß in der Mitte;PiktogrammTürschild;Zusätzlicher Text oder Nummerauf dem Türblatt
6420.97.710;A;Technik;Düker kalt/warm;;98;Style 1;710;;;
6420.97.711;A;Technik;Hebeanlage;;98;Style 1;711;;;
6420.97.720;B;Technik;Hebeanlage;;98;Style 1;720;;;
6420.97.730;C;Technik;Hebeanlage;;98;Style 1;730;;;
6420.97.760;F;Technik;Hebeanlage;;98;Style 1;760;;;
6420.98.100;B;Lager ;;;98;Style 1;;3;;
6420.98.101;B;GPZ;Werkstatt;;98;Style 1;101;;;
6420.98.101;B;GPZ;Werkstatt;;98;Style 1;101;;;
6420.98.103;C;Sterilisation;Aufbereitung ;;98;Style 1;103;;;
6420.98.103;C;Sterilisation;Aufbereitung ;;98;Style 1;103;;;
6420.98.104;C;Reinigung;;;98;Style 1;104;;;
6420.98.106A;B;Sterilisation;RDG - Tank;;98;Style 1;106A;;;
6420.98.110;B;Sterilisation;Aufbereitung ;;98;Style 1;110;;;
6420.98.106B;B;Sterilisation;Schleuse;;98;Style 1;106B;;;
6420.98.106B;B;Sterilisation;Schleuse;;98;Style 1;106B;;;
6420.98.110A;C;Sterilisation;Dosierpumpe;;98;Style 1;110A;;;
6420.98.120;B;Sterilisation;Umkleide Damen;;98;Style 1;120;;Damen;
6420.98.120A;B;;;;98;Style 1;;;;P_H
6420.98.122;B;Sterilisation;Umkleide Herren;;98;Style 1;122;;Herren;
6420.98.122A;B;;;;98;Style 1;;;;P_D
6420.98.124;B;Allg. Bereich;Dienstzimmer;;98;Style 1;124;;;
6420.98.126;B;Sterilisation;Lager 2;;98;Style 1;126;;;
6420.98.128;B;Personal;;;98;Style 1;128;;;
6420.98.130;B;Sterilisation;Schleuse;;98;Style 1;130;;;
6420.98.132;B;Sterilisation;Lager 1;;98;Style 1;132;;;
6420.98.132A;B;Reinigung;;;98;Style 1;132A;;;
6420.98.400;A;Zentralumkleide;Damen Intensiv;;98;Style 1;400;;Damen;
6420.98.400A;A;;;;98;;;;;
6420.98.400A;A;;;;98;Style 1;;;;P_D
6420.98.400B;A;;;;98;Style 1;;;;Piktorgramm Dusche
6420.98.401;A;Zentralumkleide;Herren ;;98;Style 1;401;;Herren;
6420.98.401A;A;;;;98;Style 1;;;;P_H
6420.98.401A;A;;;;98;;;;;
6420.98.401B;A;;;;98;Style 1;;;;Piktogramm Dusche
6420.98.500;E;;;;98;Style 1;;98.500;;
6420.98.705;A;Technik;RLT - Casino;;98;Style 1;705;;;
6420.98.706;A;Technik;Warmwasser Casino;;98;Style 1;706;;;
6420.98.707;A;Technik;Fettabsch Casino;;98;Style 1;707;;;
6420.98.708;A;Technik;Südanbindung;;98;Style 1;708;;;
6420.98.708;A;;;;98;;;;;
6420.98.708A;A;Technik;Südanbindung;;98;Style 1;708A;;;
6420.98.709;A;Technik;Gasflaschen Lager;;98;Style 1;709;;;
6420.98.710;A;Technik;Zentrale Med-Gase;;98;Style 1;710;;;
6420.98.711;A;Technik;BT A - UV kalt;;98;Style 1;711;;;
6420.98.715;A;Technik;RLT - A;;98;Style 1;715;;;
6420.98.715;A;Technik;RLT - A;;98;Style 1;715;;;
6420.98.715A;A;;;;98;;;;;
6420.98.715B;A;Technik;D/Druckluft VA;;98;Style 1;715B;;;
6420.98.715D;A;;;;98;;;;;
6420.98.716;A;Technik;UV - AV;;98;Style 1;716;;;
6420.98.717;A;Technik;UV - SV;;98;Style 1;717;;;
6420.98.718;A;Technik;BSV;;98;Style 1;718;;;
6420.98.718A;A;;;;98;;;;;
6420.98.719;A;Technik;USV;;98;Style 1;719;;;
6420.98.719A;A;;;;98;;;;;
6420.98.719B;A;;;;98;;;;;
6420.98.720;A;Technik;EDV;;98;Style 1;720;;;
6420.98.721;A;Technik;CORE;;98;Style 1;721;;;
6420.98.722;A;Technik;IT - SV;;98;Style 1;722;;;
6420.98.723;A;Technik;IT - BSV;;98;Style 1;723;;;
6420.98.724;A;Technik;Batt BSV;;98;Style 1;724;;;
6420.98.725;A;Technik;BSV;;98;Style 1;725;;;
6420.98.726;A;Technik;IT - BSV;;98;Style 1;726;;;
6420.98.727;A;Technik;UV - AV;;98;Style 1;727;;;
6420.98.728;A;Technik;UV - SV;;98;Style 1;728;;;
6420.98.729;A;Technik;UV - AV;;98;Style 1;729;;;
6420.98.731;A;;;;98;;;;;
6420.98.731B;B;;;;98;;;;;
6420.98.732;A;;;;98;;;;;
6420.98.732B;B;;;;98;;;;;
6420.98.733;A;Technik;UV - SV;;98;Style 1;733;;;
6420.98.734;A;Technik;UV - AV;;98;Style 1;734;;;
6420.98.735;A;Technik;EDV;;98;Style 1;735;;;
6420.98.736;A;Technik;Rohrpostzentrale;;98;Style 1;736;;;
6420.98.736;A;;;;98;;;;;
6420.98.737;B;Technik;HLS;;98;Style 1;737;;;
6420.98.738;B;Technik;EDV;;98;Style 1;738;;;
6420.98.740;A;Technik;;;98;Style 1;740;;;
6420.98.740A;B;;;;98;;;;;
6420.98.740A;B;;;;98;;;;;
6420.98.740A;B;;;;98;;;;;
6420.98.740D;B;Technik;Hybrid;;98;Style 1;740D;;;
6420.98.740F;B;;;;98;;;;;
6420.98.740F;B;;;;98;;;;;
6420.98.740F;B;;;;98;;;;;
6420.98.740I;C;;;;98;;;;;
6420.98.740H;A;;;;98;;;;;
6420.98.740H;A;;;;98;;;;;
6420.98.740H;A;Technik;Schleuse;;98;Style 1;740H;;;
6420.98.740I;C;Technik;Schleuse;;98;Style 1;740l;;;
6420.98.740I;C;;;;98;;;;;
6420.98.742;C;Technik;C - UV Warm;;98;Style 1;742;;;
6420.98.743;C;Technik;C - UV Kalt;;98;Style 1;743;;;
6420.98.744;C;Technik;IT - AWR;;98;Style 1;744;;;
6420.98.745;C;Technik;RLT - Casino;;98;Style 1;745;;;
6420.98.745A;C;;;;98;;;;;
6420.98.745C;C;Technik;HLS;;98;Style 1;745C;;;
6420.98.746;C;Technik;UV - AV;;98;Style 1;746;;;
6420.98.747;C;Technik;UV - SV;;98;Style 1;747;;;
6420.98.748;C;Technik;EDV;;98;Style 1;748;;;
6420.98.749;C;Technik;IT BSV;;98;Style 1;749;;;
6420.98.749A;C;;;;98;;;;;
6420.98.749B;C;Technik;Batt;;98;Style 1;749B;;;
6420.98.750;C;Technik;Hybrid;;98;Style 1;750;;;
6420.98.751;C;Technik;IT - SV;;98;Style 1;751;;;
6420.98.752;C;Technik;Hybrid;;98;Style 1;752;;;
6420.98.754;A;Technik;Ringschluss;;98;Style 1;754;;;
6420.98.755;F;Technik;AWT;;98;Style 1;755;;;
6420.98.755;E;Technik;AWT;;98;Style 1;755;;;
6420.98.755;E;Technik;AWT;;98;Style 1;755;;;
6420.98.755A;A;Technik;AWT;;98;Style 1;755A;;;
6420.98.756B;E;;;;98;;;;;
6420.98.756B;A;;;;98;;;;;
6420.98.756D;E;;;;98;;;;;
6420.98.756D;A;;;;98;;;;;
6420.98.761;B;Technik;BOS;;98;Style 1;761;;;
6420.98.762;B;Technik;MSR - HZ;;98;Style 1;762;;;
6420.98.762a;B;Technik;;;98;Style 1;762a;;;
6420.98.763;B;Technik;Dampf-/Heizungszentrale;;98;Style 1;763;;;
6420.98.764;E;Technik;BMZ;;98;Style 1;764;;;
6420.98.765;E;Technik;UV - SV;;98;Style 1;765;;;
6420.98.766;E;Technik;UV - AV;;98;Style 1;766;;;
6420.98.767;E;;;;98;;;;;
6420.98.767;E;;;;98;;;;;
6420.98.768;E;;;;98;;;;;
6420.98.768;E;;;;98;;;;;
6420.98.770;E;Technik;RLT - E;;98;Style 1;770;;;
6420.98.770A;E;Technik;Übergabe Wärme;;98;Style 1;770A;;;
6420.98.770C;E;;;;98;;;;;
6420.98.771;E;Technik;Ansaugbauwerk;;98;Style 1;771;;;
6420.98.772;E;Technik;NS HV - SV;;98;Style 1;772;;;
6420.98.772A;E;;;;98;;;;;
6420.98.773;E;Technik;BSV;;98;Style 1;773;;;
6420.98.773A;E;;;;98;;;;;
6420.98.774;E;Technik;MS ;;98;Style 1;774;;;
6420.98.775;E;;;;98;;;;;
6420.98.776;E;;;;98;;;;;
6420.98.777;E;;;;98;;;;;
6420.98.778;E;;;;98;;;;;
6420.98.779;E;Technik;NAG SR;;98;Style 1;779;;;
6420.98.780;E;Technik;Ansaugbauwerk;;98;Style 1;780;;;
